epoch,train_loss,val_loss,val_sharpe,val_ic
1,1.0153523856664406,0.6548709577092757,0.43160912248782457,-0.08142807040983334
2,1.0008337561990701,0.6550350997310418,0.011254156703056666,-0.07168743110992351
3,1.0008840246819983,0.6549092559860303,0.7074392747779653,-0.06054811449948227
4,1.0007606443090766,0.656434175486748,0.4543542679998263,-0.05363823106984201
5,1.0002405081747794,0.6579510122537613,0.5169384247884687,-0.05976318514312435
6,0.9994402862354821,0.6555038702029449,0.6451833800466097,-0.06577958515648487
7,1.0035039166755535,0.6538427718556844,0.8146657718144362,-0.0157551342244132
8,1.0017809306143546,0.6570272204967645,0.42598644451297696,-0.04794749323624704
9,0.9988760619479067,0.6573500169011263,1.0191538849558648,-0.053788556520898576
10,0.9994145676347554,0.6576294641082103,0.5530104973295192,-0.06276929757172918
11,1.0005814466698497,0.6570255332268201,0.6171421460442498,-0.05948762483716891
12,1.0008983471814323,0.6630190479067656,1.644390509486233,-0.05762550519389425
13,0.9975258180615949,0.664928677563484,0.9033744671544175,-0.05966138000372946
14,0.9981470104379981,0.6696877152873919,0.729702269228165,-0.03392731888172617
15,0.9934977501922962,0.6724331522217164,0.29413944695272937,-0.030808130444605234
16,1.0010988050523926,0.6674659475684166,-0.020544542153767935,-0.04410217442132336
17,0.9972262463587171,0.6651161301594514,1.141998423401311,-0.044290056448111154
18,0.9893396093564875,0.6687572644307063,-0.17526403635604362,-0.05540014696549652
19,0.991338336438525,0.6786883702644935,0.16568143275422895,-0.04495390627609472
20,0.9919957081038578,0.6806742061789219,0.8281478815784439,-0.047709509335649145
21,1.0096466422957533,0.6708895260324845,0.8998069741988587,-0.03464321340532304
22,0.9919234195030203,0.6775765436199995,1.0858126997531468,-0.042348608837970536
23,0.9836122281849384,0.6773414583160327,1.404464488877559,-0.03473729917498914
24,0.9955818940903626,0.6881219807725686,1.6625926029816485,-0.030031898192992408
25,0.9830381786268131,0.6824447111441538,-0.06382608576685014,-0.03970991015063962
26,0.9819952735275614,0.6839277870379962,2.4969609019926695,-0.020007348274825476
27,0.9833007206519445,0.6809314850431222,1.6734238145326414,-0.021134640435552292
