epoch,train_loss,val_loss,val_sharpe,val_ic
1,0.9542206965532958,0.6416011693385931,-0.5045362996692866,-0.0316977854971776
2,0.9264181964829856,0.5953443634968537,-0.22354181152582614,0.013752964360867101
3,0.907628414385459,0.6072445930196688,1.695905818486681,-0.015164167139851026
4,0.929565265701682,0.6493237969967035,1.2118601925429557,0.04039463575937738
5,0.9258907054569206,0.6080782459332392,2.6763150733326975,0.05233558235077992
6,0.9080931117721632,0.5739691291864102,1.9912082426884603,-0.01796987207321554
7,0.9005664159708163,0.5969980903542959,1.0507163966955644,0.05674872240221784
8,0.9080430946367628,0.5934221629913037,1.598283760594173,0.06596746718327265
9,0.9073963751103363,0.6187845525833277,1.0864554659849266,0.04254901633321085
10,0.8938523839209594,0.5811712105686848,2.4723292965862074,0.06663966732355789
11,0.890261167696878,0.5779996720644144,2.418123635520772,0.04882010087177261
12,0.8988404055582542,0.6004953533411026,-0.188247587641547,0.03781021410200742
13,0.8970548013846079,0.6208461832541686,2.6812462408371007,0.051621630648986276
14,0.900194664284879,0.6058144454772656,3.4386188689742827,0.05231470657002571
15,0.8867949519087287,0.5996410009952692,1.4619018530064072,0.044256655198904434
16,0.8991570151319691,0.5993945277654208,2.629111047045166,0.047964193860850386
17,0.8897978315750757,0.6041222220430007,1.769411679547609,0.03744697551688433
18,0.893353952131435,0.6059528210988412,-0.39794416487166445,0.01799909816627142
19,0.8919017339746157,0.6058236091182783,1.1864799139106337,0.041521927920104215
20,0.8996742212889242,0.6351946007746917,0.6992850721362781,0.052352282975383274
21,0.8850988498067155,0.5812653864805515,1.7825370039629969,0.02078392731888173
22,0.8838762348773432,0.6058374586013647,1.7733206166090438,0.0385283409599519
23,0.9018880253767266,0.6268694079839267,2.0536608408660073,0.027167741073516136
24,0.8893211603018583,0.6435690384644729,2.259701479450136,0.013990948261464976
25,0.8882936890803131,0.6215165784725776,2.003192594042501,0.02469187347606801
26,0.8855605893859676,0.636920867057947,0.9418084858569507,0.005678212365142458
27,0.8857697536255799,0.5866068412478154,2.2255439416589193,0.00794114699889776
28,0.8860893786391791,0.6038129914265412,1.6851086316446566,0.006788803901265906
29,0.8863896165116161,0.5820840683120948,1.7543616151444434,-0.0023380874444704183
30,0.8912120288347497,0.5867816559397258,0.9548248275406224,-0.00969053742609973
