size_bucket,n_stocks,buy_signals,buy_hit_rate,buy_mean_ret,mean_score_ret_corr
smaller,17,232,0.4568965517221686,0.002169556872596733,-0.0816739843047535
mid,16,359,0.5431754874636681,0.005255040788196415,-0.10187182466555521
larger,17,244,0.5163934426166017,0.0055143010628220255,-0.09511733480911441
