beta_bucket,n_stocks,buy_signals,buy_hit_rate,buy_mean_ret,mean_score_ret_corr
low beta,17,251,0.4581673306754655,0.0017455832539168047,-0.08684877991547907
mid beta,16,220,0.4772727272727273,-0.0034496694803237914,-0.12008756142213864
high beta,17,364,0.5686813186750695,0.011143330180355205,-0.07279831636866327
