period,strategy,n_weeks,cagr,ann_vol,sharpe,sharpe_weekly,sortino,max_drawdown,calmar,win_rate,profit_factor,information_ratio,mean_ic,avg_weekly_turnover,sharpe_ci_lo,sharpe_ci_hi
test,MTL (ours),78.0,0.7485365766495384,0.20433125235391827,2.5405431099199847,0.3523099403978173,4.34442350507655,-0.1491625414728186,5.018261081224215,0.7051282051282052,2.8294865903386586,2.856006634084485,0.06368687594301863,0.3628658053747163,,
test,MTL no-graph,78.0,0.6150401269790855,0.2195334823605742,2.0136943889813974,0.279249168176406,4.067716219862549,-0.08860600887756487,6.9412913951348765,0.6538461538461539,2.217935110111705,2.193706477101119,0.03693760267692111,0.13100867334664984,,
test,MTL return-only,78.0,0.2796210178784382,0.16369192138670427,1.2046485210269664,0.16705469274902257,2.785154666791678,-0.08552039156152735,3.2696414594555008,0.5384615384615384,1.7603170371742367,0.8494260794532797,0.017088143954003033,0.916672089047234,,
test,MTL +cost-term,78.0,0.4188745492662369,0.18577973182159488,1.6407494287169384,0.2275310075164296,3.0895467350582346,-0.15577447729175098,2.688980611899112,0.6153846153846154,2.052471157955545,1.6485721830760205,0.031408238784344594,0.68939633406464,,
test,Logistic,78.0,0.5410631261699199,0.17570823486920883,2.1990071715191837,0.3049474273855943,3.494387675621008,-0.1088893082068163,4.968927942330799,0.6410256410256411,2.560506702027056,2.294514003149677,0.025739127959598908,0.8638240235266265,,
test,Momentum,78.0,0.08711890457289839,0.1755160674128387,0.20475901113577397,0.028394965913974425,0.2806399009027886,-0.2219004848528333,0.39260348904003767,0.5641025641025641,1.2177268635530387,-0.4349712663467247,0.01768385477001956,1.0090317316010196,,
test,Inverse-vol,78.0,0.20111296366125542,0.12995384293747445,0.9920140018217775,0.1375675903671787,1.35772350810898,-0.10979023006714717,1.8317928975852926,0.6538461538461539,1.6807236184665457,0.49141662481160026,-0.04763558512460278,1.071087585761804,,
test,Random,78.0,0.20739031416469925,0.15456089994348002,0.8647820338983158,0.11992369097386206,1.3786790833635127,-0.1445449287581453,1.6785152693038636,0.5923076923076922,1.5948809888374869,0.4408052820394241,,,,
test,Nifty 50,78.0,0.15526934865747322,0.11480649076027594,0.7670802640757842,0.10637489325083453,0.9816489713238623,-0.10108312514333828,1.5360560769890876,0.6410256410256411,1.5834553038101615,,,,,
holdout,MTL (ours),89.0,-0.12417035723655145,0.16219591552843313,-1.124376971247087,-0.155923031645472,-1.6929090251438983,-0.25887066360068367,-0.4796617566063346,0.43820224719101125,0.7683944919211321,-0.8789459250216175,-0.04117806455899976,0.5603239202528552,,
holdout,MTL no-graph,89.0,-0.15410375208811156,0.19614632524213652,-1.0768734861301184,-0.1493354835165308,-1.971954476812219,-0.3386652690734474,-0.4550326418463967,0.39325842696629215,0.7584229631853198,-1.076424921615831,-0.022930513354955575,0.2559973432995727,,
holdout,Momentum,89.0,0.0400475605883035,0.1564253638772036,-0.0744290374360515,-0.010321450417658175,-0.11786091951087668,-0.16585101009129388,0.24146708884232318,0.5056179775280899,1.127267229434832,0.4766837631348177,-0.00851351461063987,1.0132788575253004,,
holdout,Inverse-vol,89.0,-0.031112243139225892,0.1544484363182808,-0.535246837273917,-0.07422538141619377,-0.7192484456006734,-0.15643835061542632,-0.19887861906515095,0.4943820224719101,0.9539075264609902,-0.11344237664994006,-0.013978559648247894,1.1261574054611085,,
holdout,Random,89.0,-0.03715531893625253,0.1596909891643507,-0.5701576771191692,-0.079066643844331,-0.9032754715115127,-0.1656318476845061,-0.18842592369314895,0.4741573033707865,0.9494632004017556,-0.1838401993863178,,,,
holdout,Nifty 50,89.0,-0.016116619636479257,0.1264212342126184,-0.5646668570172177,-0.07830520409733352,-0.9393428952809889,-0.1373205537180482,-0.11736494792739124,0.47191011235955055,0.9759503953075129,,,,,
all_oos,MTL (ours),167.0,0.20926627064219883,0.18892108601614255,0.7672909169273688,0.10640410554536188,1.3054428476881859,-0.27688990545183845,0.7557742861759837,0.562874251497006,1.490992408251612,0.9926470417271681,0.007800769926972899,0.4740859983337245,-0.43410724572657094,1.9234105651381987
all_oos,MTL no-graph,167.0,0.14426394674648257,0.21165887541775813,0.44394604719029757,0.06156423987246822,0.873112591249415,-0.3386652690734475,0.425977978613436,0.5149700598802395,1.3015309614033208,0.6099685496729069,0.005031840240771253,0.1965300725243927,-0.7075572157246516,1.5510552553165184
all_oos,Momentum,167.0,0.06170428137362416,0.1651515826817393,0.06368074576947748,0.008830930543524521,0.09327660543209837,-0.2760056852600341,0.2235616317667171,0.5329341317365269,1.1720206712341787,0.060553772128158004,0.0037223824653567494,1.0125247060312206,-1.080820682500193,1.2539170293951578
all_oos,Inverse-vol,167.0,0.07122718852210008,0.14384329402288065,0.11271739626396902,0.015631090456405133,0.15120016195834887,-0.16144247610457196,0.4411923692000594,0.5688622754491018,1.2207556305759764,0.14269146980555827,-0.029698607475527418,1.0993211375508591,-0.8558930049514741,1.07387247201071
all_oos,Random,167.0,0.06797588052284739,0.15805113203013488,0.0827119224649599,0.011470079905369798,0.14670812932517957,-0.23977256819226483,0.34149643460019036,0.5293413173652695,1.1977893298432472,0.10038584793241472,,,,
all_oos,Nifty 50,167.0,0.06051453141914509,0.12128007970795791,0.025466290062638185,0.0035315390237185013,0.038088159907783435,-0.15486679645248136,0.39075213541795645,0.5508982035928144,1.215677177862329,,,,-1.0381007452947244,1.0813005557977298
